,data,estado,titulo,link,palavra_chave,texto
1,31 de mai. de 2021,mato grosso do sul,Mato Grosso do Sul registra queda de 10% no número ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/05/31/mato-grosso-do-sul-registra-queda-de-10percent-no-numero-de-assassinatos-no-1o-trimestre-de-2021.ghtml,G1,"31 de mai. de 2021 — Número de mortes violentas passou de 120 no ano passado para 107 nos primeiros três meses de 2021, segundo Monitor da Violência, uma parceria do G1 com o ..."
2,31 de ago. de 2021,mato grosso do sul,Atlas da Violência aponta que MS tem 3ª maior taxa de ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/08/31/atlas-da-violencia-aponta-que-ms-tem-2a-maior-taxa-de-assassinatos-de-indigenas-do-pais.ghtml,Mato Grosso,"31 de ago. de 2021 — Mato Grosso do Sul registrou uma taxa de homicídios de indígenas de 44,8 por 100 mil em 2019. O percentual foi o terceiro maior do país, segundo dados do ..."
3,18 de nov. de 2021,mato grosso do sul,"Crimes violentos: MS registrou 491 mortes em 2020, 25 a ... - G1",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/11/18/crimes-violentos-ms-registrou-491-mortes-em-2020-25-a-mais-que-no-ano-anterior-conforme-ibge.ghtml,Mato Grosso,"18 de nov. de 2021 — O ano de 2020 em Mato Grosso do Sul, além de ser marcado pela pandemia e suas ... Defesa da mulher diz que morte foi motivada por episódios de violência ..."
4,24 de ago. de 2021,mato grosso do sul,Da língua à distância: os obstáculos enfrentados por ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/08/24/da-lingua-a-distancia-os-obstaculos-enfrentados-por-mulheres-indigenas-para-denunciar-casos-de-violencia.ghtml,Mato Grosso,"24 de ago. de 2021 — ... para além da de infraestrutura, são impostas nos caminhos das mulheres indígenas vítimas de violência doméstica, em Mato Grosso do Sul, como na de Alice ..."
5,6 de ago. de 2021,mato grosso do sul,Feminicídios chegam a 22 apenas neste ano e polícia faz ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/08/06/feminicidios-chegam-a-22-apenas-neste-ano-e-policia-faz-acao-para-colocar-agressores-na-cadeia-em-ms.ghtml,Mato Grosso,"6 de ago. de 2021 — Nos primeiros sete meses deste ano, a polícia de Mato Grosso do Sul ainda registrou quase 10 mil ocorrências de violência doméstica. Dois crimes são ..."
6,9 de out. de 2021,mato grosso do sul,"Em duas semanas, pelo menos 15 pessoas foram executadas ...",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/09/em-duas-semanas-pelo-menos-15-pessoas-foram-executadas-na-fronteira-com-o-paraguai-entenda-as-causas-da-violencia-na-regiao.ghtml,g1,"9 de out. de 2021 — A região faz parte da rota de tráfico de drogas, de armas e de outros crimes transnacionais. Por Marta Ferreira e Débora Ricalde, g1 MS."
7,22 de abr. de 2021,mato grosso do sul,Número de policiais mortos em MS cresce 400% em 2020 ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/04/22/numero-de-policiais-mortos-em-ms-cresce-400percent-em-2020-aponta-monitor-da-violencia.ghtml,G1,"22 de abr. de 2021 — Os dados são da secretaria estadual de Justiça e Segurança Pública (Sejusp) e foram divulgados nesta quinta-feira (22) pelo projeto Monitor da Violência, do G1."
8,26 de ago. de 2021,mato grosso do sul,"As lições do 'Caso Carla', único feminicídio da pandemia já ...",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/08/26/as-licoes-do-caso-carla-unico-feminicidio-da-pandemia-ja-julgado-em-campo-grande.ghtml,G1,"26 de ago. de 2021 — Por Marta Ferreira, G1 MS — Campo Grande ... a violência contra as mulheres aumentou, as mortes derivadas dela também, e no meio disso a Justiça teve de se ..."
9,3 de dez. de 2021,mato grosso do sul,Número de homicídios em Campo Grande cresce 87 ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/12/03/numero-de-homicidios-em-campo-grande-cresce-87percent-em-novembro-de-2021-mes-com-mais-mortes-violentas-do-ano.ghtml,g1,"3 de dez. de 2021 — Por Liniker Ribeiro, g1 MS ... conforme a secretaria, também foi o mês com o maior número de homicídios dolosos de 2021 na capital sul-mato-grossense."
10,25 de nov. de 2021,mato grosso do sul,Campanha de combate ao crime de violência contra mulher ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/11/25/confira-a-programacao-de-campo-grande-para-a-campanha-16-dias-de-ativismo-contra-a-violencia-domestica.ghtml,g1,"25 de nov. de 2021 — Campanha conta com palestras sobre violência doméstica, importância de medidas preventivas, feminicídio e é voltada tanto para ... Por Renata Barros, g1 MS."
11,14 de out. de 2021,mato grosso do sul,"após onda de assassinatos, moradores de Ponta Porã ... - G1",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/14/momento-tenso-na-fronteira-com-varias-mortes-secretaria-alerta-a-moradores-de-ponta-pora-que-portem-identificacao-no-dia-a-dia.ghtml,violencia,"14 de out. de 2021 — Diante da série de assassinatos na fronteira entre Brasil e Paraguai, a secretaria de Segurança de Ponta Porã (MS), cidade do lado brasileiro, disse que RG, ..."
12,1 de nov. de 2021,mato grosso do sul,Umbandistas denunciam violência policial e intolerância ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/11/01/umbandistas-denunciam-violencia-policial-e-intolerancia-religiosa-em-terreiro-de-ms-mas-pm-nega-video.ghtml,violencia,"1 de nov. de 2021 — Umbandistas denunciam violência policial e intolerância religiosa em terreiro de MS, mas PM nega; Vídeo. Polícia Militar de Corumbá afirma que 'agiu de forma a ..."
13,25 de nov. de 2021,mato grosso do sul,"Após denúncia de maus-tratos a idosos, Conselho suspende ...",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/11/25/apos-denuncia-de-maus-tratos-a-idosos-conselho-suspende-ampliacao-de-servico-em-asilo-de-ms.ghtml,g1,"25 de nov. de 2021 — Gestora que solicitou ampliação é a mesma investigada por agredir moradores da instituição. Por Liniker Ribeiro e Jones Mário, g1 MS e TV Morena — Campo Grande."
14,26 de jul. de 2021,mato grosso do sul,"Mulher liga para a PM, solicita envio de boleto e atendente ...",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/07/26/mulher-liga-para-a-pm-e-solicita-envio-de-boleto-e-atendente-percebe-pedido-de-ajuda-por-violencia-domestica-em-ms.ghtml,G1,26 de jul. de 2021 — Caso foi registrado em Miranda (MS). ... Uma moradora de Miranda (MS) que estava sendo vítima de violência doméstica conseguiu pedir socorro ... Mais do G1.
15,11 de mai. de 2021,mato grosso do sul,Rapaz que matou a ex em MS enquanto ela dizia que o ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/05/11/rapaz-que-matou-a-ex-em-ms-enquanto-ela-dizia-que-o-amava-e-condenado-a-12-anos-de-prisao.ghtml,G1,"11 de mai. de 2021 — Crime aconteceu em Costa Rica (MS), na frente de várias pessoas, no dia em que a vítima completava 20 anos. O réu está preso. Por G1 MS. 11/05/2021 14h48 ..."
16,10 de out. de 2021,mato grosso do sul,O que se sabe sobre o crime que matou quatro pessoas na ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/10/o-que-se-sabe-sobre-o-crime-que-matou-quatro-pessoas-na-fronteira-do-paraguai-com-o-brasil.ghtml,G1,"10 de out. de 2021 — Por G1. 10/10/2021 18h37 Atualizado há um ano ... em Pedro Juan Caballero, cidade no Paraguai que faz fronteira com Ponta Porã, no Mato Grosso do Sul."
17,15 de jul. de 2021,mato grosso do sul,MT tem maior taxa de feminicídio do país em relação a ... - G1,https://g1.globo.com/mt/mato-grosso/noticia/2021/07/15/mt-tem-maior-taxa-de-feminicidio-do-pais-em-relacao-a-assassinatos-de-mulheres-diz-anuario-da-seguranca-publica.ghtml,Mato Grosso,15 de jul. de 2021 — Mato Grosso é o primeiro no ranking de proporção de homicídios femininos ... devido ao fato de ela ser mulher ou em decorrência da violência doméstica.
18,3 de ago. de 2021,mato grosso do sul,"Em sete meses, 87 pessoas são executadas na fronteira do ...",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/08/03/em-sete-meses-87-pessoas-sao-executadas-na-fronteira-do-brasil-com-o-paraguai.ghtml,G1,"3 de ago. de 2021 — Em cada morte, a média é de 30 tiros, seja de fuzil ou pistola. Por Flávio Dias, G1 MS — Campo Grande. 03/08/2021 17h51 ..."
19,22 de out. de 2021,mato grosso do sul,MT é o 4° estado com a maior taxa de vítimas de estupro ... - G1,https://g1.globo.com/mt/mato-grosso/noticia/2021/10/22/mt-e-o-4-estado-com-a-maior-taxa-de-vitimas-de-estupro-em-2020.ghtml,Mato Grosso,"22 de out. de 2021 — O estado só perde para Mato Grosso do Sul (186,0), Rondônia (146,2) e Paraná (139,7), com as piores taxas do Brasil. Mesmo assim, os dados mostram que esse ..."
20,4 de ago. de 2021,mato grosso do sul,"Mais de 1,3 mil animais silvestres são capturados em MS no ...",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/08/04/mais-de-13-mil-animais-silvestres-sao-resgatados-em-ms-no-1o-semestre-numero-e-59percent-maior-do-que-de-2020.ghtml,violencia,"4 de ago. de 2021 — Foram cerca de 7 animais por dia resgatados pela PMA, em MS. — Foto: PMA-MS. A Polícia Militar Ambiental (PMA) capturou 1.337 animais silvestres no primeiro ..."
21,16 de out. de 2021,mato grosso do sul,Vendaval atingiu 18 cidades de MS e municípios ainda ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/16/vendaval-atingiu-18-cidades-de-ms-e-municipios-ainda-contabilizam-estragos.ghtml,Mato Grosso,16 de out. de 2021 — Levantamento prévio da Defesa Civil Estadual mostra que pelo menos 18 municípios de Mato Grosso do Sul foram atingidos pelo vendaval dessa sexta-feira (15).
22,30 de out. de 2021,mato grosso do sul,Acidente deixa 13 mortos entre Mato Grosso e Rondônia - G1,https://g1.globo.com/jornal-nacional/noticia/2021/10/30/acidente-entre-caminhonete-e-van-deixa-13-mortos-entre-mato-grosso-e-rondonia.ghtml,Mato Grosso,"30 de out. de 2021 — Van da Secretaria de Saúde de Comodoro, em Mato Grosso, levava 12 pessoas: pacientes que iam fazer hemodiálise em Vilhena (RO), acompanhantes, ..."
23,18 de fev. de 2021,mato grosso do sul,IBGE oferece 2.815 vagas em MS para o Censo 2021 com ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/02/18/ibge-oferece-2815-vagas-em-ms-para-o-censo-2021-com-salario-de-ate-r-21-mil.ghtml,Mato Grosso,"18 de fev. de 2021 — Em Mato Grosso do Sul são 2.502 vagas para recenseadores, 84 para agente ... Defesa conta que a jovem não tem histórico de violência e o casal estava com ..."
24,15 de out. de 2021,mato grosso do sul,Corpo é encontrado após naufrágio de barco-hotel em rio no ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/15/sete-pessoas-continuam-desaparecidas-em-naufragio-de-barco-hotel-em-rio-no-pantanal-veja-video.ghtml,g1,"15 de out. de 2021 — Por Maressa Mendonça e José Câmara, g1 MS ... foi encontrado após naufrágio de um barco-hotel, no rio Paraguai, no Pantanal de Mato Grosso do Sul."
25,15 de out. de 2021,mato grosso do sul,Vendaval em Campo Grande: Idosa quase é levada por vento ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/15/vendaval-em-campo-grande-idosa-quase-e-levada-por-vento-motoqueiro-cai-em-via-e-mais-de-50-arvores-caidas.ghtml,g1,"15 de out. de 2021 — Outras cidades do estado registraram tempestade de poeira. Por José Câmara e João Pedro Godoy, g1 MS. 15/10/2021 18h28 Atualizado há um ano ..."
26,19 de nov. de 2021,mato grosso do sul,Técnico de enfermagem de hospital é denunciado à Justiça ...,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/11/19/tecnico-de-enfermagem-de-hospital-e-denunciado-a-justica-por-estupro-de-paciente-de-covid-em-ms.ghtml,g1,"19 de nov. de 2021 — Por Carol Pamplona e Marta Ferreira, g1 MS ... Nove meses depois de ser acusado de violência sexual contra uma paciente de covid-19 no Hospital Regional de ..."
27,16 de out. de 2021,mato grosso do sul,Naufrágio no Pantanal de MS: veja quem são as vítimas ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/16/naufragio-no-pantanal-de-ms-veja-quem-sao-as-vitimas-do-acidente-no-rio-paraguai.ghtml,g1,16 de out. de 2021 — Barco virou durante temporal na tarde dessa sexta-feira (15). Grupo fazia churrasco na embarcação. Por g1 MS. 16/10/2021 15h29 Atualizado ...
28,19 de nov. de 2021,mato grosso do sul,"'Deus te dê o descanso eterno', postou filha presa por mandar ...",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/11/19/deus-te-de-o-descanso-eterno-postou-filha-presa-por-mandar-matar-produtor-rural-de-ms-tres-dias-apos-o-crime.ghtml,g1,"19 de nov. de 2021 — Investigação aponta que ela e o marido contrataram pessoa para arranjar atiradores. Por Liniker Ribeiro, g1 MS — Campo Grande."
29,23 de mai. de 2021,mato grosso do sul,Assassinatos de mulheres sobem 78% em Mato Grosso em ...,https://g1.globo.com/mt/mato-grosso/noticia/2021/05/23/assassinatos-de-mulheres-sobem-78percent-em-mato-grosso-em-2021-diz-sesp.ghtml,G1,"23 de mai. de 2021 — Rondonópolis foi o município com maior número de homicídios de mulheres (5), sendo seguido por Sinop e Várzea Grande, cada um com três casos. Por G1 MT. 23/05/ ..."
30,6 de out. de 2021,mato grosso do sul,Seca história se prolonga e Pantanal deve viver maior ... - G1,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/10/06/seca-historia-se-prolonga-e-pantanal-deve-viver-maior-vazante-em-121-anos.ghtml,g1,"6 de out. de 2021 — Por Luana Ribeiro, g1 MS. 06/10/2021 19h49 Atualizado há um ano. Salinas do Pantanal e a seca na região da Nhecolândia, no Mato Grosso do Sul ..."
